"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","Language_family","line23_col","stratification_col","line4_col","line22_col"
"745","ec16","xd624",27666,"Evenk","even1259","1",8192,16,2,70.67,130.91,"Tungusic","#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA"
"746",NA,NA,27677,NA,"tuni1259",NA,2,1024,2,33.88,9.53,"Afro-Asiatic","#88C1CA",NA,"#5E9AC4","#88C1CA"
"747","Eb5","xd613",27743,"Turkmen","turk1304",NA,16,16,2,37.96,58.33,"Turkic","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"748","Ci5","xd581",27765,"Turks","nucl1301","4",16,16,2,38.96,35.24,"Turkic","#F6C3C3","#F1635B","#F6C3C3","#88C1CA"
"749",NA,NA,27781,NA,"rwan1241",NA,2,16,2,-1.57,29.64,"Atlantic-Congo","#88C1CA",NA,"#F6C3C3","#88C1CA"
"750",NA,NA,27798,NA,"tuvi1240",NA,1024,16,2,48.44,92.67,"Turkic","#C52B2F",NA,"#F6C3C3","#88C1CA"
"751",NA,NA,27809,NA,"Chiga: chig1238; Rundi: rund1242",NA,8192,8192,1024,-3.01,28.29,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F","#5E9AC4"
"752",NA,NA,27853,NA,"tzot1259",NA,8192,8192,8192,16.64,-92.74,"Mayan","#5E9AC4",NA,"#C52B2F",NA
"753",NA,NA,27908,NA,"ukra1253",NA,8192,8192,2,48.37,31.16,"Indo-European","#5E9AC4",NA,"#C52B2F","#88C1CA"
"754","If9","xd840",27930,"Ulithians","ulit1238","1",1024,128,2,9.96,139.61,"Austronesian","#C52B2F","#5E9AC4","#88C1CA","#88C1CA"
"755",NA,NA,27963,NA,"nyan1301",NA,8192,128,2,-20.63,121.39,"Pama-Nyungan","#5E9AC4",NA,"#88C1CA","#88C1CA"
"756",NA,NA,28029,NA,NA,NA,1024,16,2,-32.52,-55.77,"Indo-European","#C52B2F",NA,"#F6C3C3","#88C1CA"
"757",NA,NA,28084,NA,"manu1262",NA,8192,8192,256,-2.08,147.05,"Austronesian","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"758",NA,NA,28117,NA,"hind1269",NA,128,128,2,26.84,80.94,"Indo-European","#F1635B",NA,"#88C1CA","#88C1CA"
"759",NA,NA,28133,NA,"uigh1240",NA,16,16,2,43.67,79.75,"Turkic","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"760",NA,NA,28136,NA,"mamu1254",NA,8192,8192,8192,-5.52,151.54,"Austronesian","#5E9AC4",NA,"#C52B2F",NA
"761",NA,NA,28139,NA,"uzbe1247",NA,2,16,2,35.91,64.77,"Turkic","#88C1CA",NA,"#F6C3C3","#88C1CA"
